date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:14:56	67/67	---MC-	200	added ('OK')	text/plain	date:Wed,%2021%20Oct%202020%2018:14:55%20GMT	http://localhost:8000/robots.txt		(from )
15:15:01	170193/170193	---MC-	200	added ('OK')	text/html	date:Wed,%2021%20Oct%202020%2018:14:56%20GMT	http://localhost:8000/	/home/gilberto/websites/teste/content/index.html	(from )
15:15:01	53907/53907	---M--	200	added ('OK')	text/css	etag:%225f9077cc-d293%22	http://localhost:8000/wp-includes/css/dist/block-library/style.min.css?ver=5.5.1	/home/gilberto/websites/teste/content/wp-includes/css/dist/block-library/style.mind03b.css	(from http://localhost:8000/)
15:15:03	1920/1920	---M--	200	added ('OK')	text/css	etag:%225f9077e2-780%22	http://localhost:8000/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.3	/home/gilberto/websites/teste/content/wp-content/plugins/contact-form-7/includes/css/stylesde54.css	(from http://localhost:8000/)
15:15:03	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Oct%202020%2018:15:03%20GMT	http://s.w.org/	/home/gilberto/websites/teste/s.w.org/index.html	(from http://localhost:8000/)
15:15:04	1603/1603	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Oct%202020%2018:15:03%20GMT	http://fonts.googleapis.com/	/home/gilberto/websites/teste/fonts.googleapis.com/index.html	(from http://localhost:8000/)
15:15:04	6575/6575	---M--	200	added ('OK')	text/css	etag:%225f907763-19af%22	http://localhost:8000/wp-content/themes/salient/css/rgs.css?ver=10.0.1	/home/gilberto/websites/teste/content/wp-content/themes/salient/css/rgs202d.css	(from http://localhost:8000/)
15:15:04	2361/2361	---MC-	200	added ('OK')	application/rss+xml	etag:%225396245841521497a2d4775a9ac7b1c3%22	http://localhost:8000/comments/feed/	/home/gilberto/websites/teste/content/comments/feed/index.html	(from http://localhost:8000/)
15:15:06	52485/52485	---M--	200	added ('OK')	text/css	etag:%225f907763-cd05%22	http://localhost:8000/wp-content/themes/salient/css/font-awesome.min.css?ver=4.6.4	/home/gilberto/websites/teste/content/wp-content/themes/salient/css/font-awesome.min82d0.css	(from http://localhost:8000/)
15:15:08	923333/923333	---M--	200	added ('OK')	text/css	etag:%225f907763-e16c5%22	http://localhost:8000/wp-content/themes/salient/style.css?ver=10.0.1	/home/gilberto/websites/teste/content/wp-content/themes/salient/style202d.css	(from http://localhost:8000/)
15:15:10	10926/10926	---M--	200	added ('OK')	text/css	etag:%225f907763-2aae%22	http://localhost:8000/wp-content/themes/salient/css/magnific.css?ver=8.6.0	/home/gilberto/websites/teste/content/wp-content/themes/salient/css/magnificdb31.css	(from http://localhost:8000/)
15:15:10	202370/202370	---M--	200	added ('OK')	text/css	etag:%225f907763-31682%22	http://localhost:8000/wp-content/themes/salient/css/responsive.css?ver=10.0.1	/home/gilberto/websites/teste/content/wp-content/themes/salient/css/responsive202d.css	(from http://localhost:8000/)
15:15:12	48179/48179	---MC-	200	added ('OK')	application/rss+xml	etag:%227420a3b74c15f750ecf47d63f538956f%22	http://localhost:8000/feed/	/home/gilberto/websites/teste/content/feed/index.html	(from http://localhost:8000/)
15:15:15	131148/131148	---M--	200	added ('OK')	text/css	etag:%225f907763-2004c%22	http://localhost:8000/wp-content/themes/salient/css/skin-material.css?ver=10.0.1	/home/gilberto/websites/teste/content/wp-content/themes/salient/css/skin-material202d.css	(from http://localhost:8000/)
15:15:19	216538/216538	---M--	200	added ('OK')	text/css	etag:%225f907763-34dda%22	http://localhost:8000/wp-content/plugins/js_composer_salient/assets/css/js_composer.min.css?ver=5.6	/home/gilberto/websites/teste/content/wp-content/plugins/js_composer_salient/assets/css/js_composer.min40df.css	(from http://localhost:8000/)
15:15:21	808/808	---MC-	200	added ('OK')	text/css	date:Wed,%2021%20Oct%202020%2018:15:11%20GMT	https://fonts.googleapis.com/css?family=Open+Sans%3A300%2C400%2C600%2C700&subset=latin%2Clatin-ext	/home/gilberto/websites/teste/fonts.googleapis.com/cssb681.css	(from http://localhost:8000/)
15:15:21	1168/1168	---MC-	200	added ('OK')	text/css	date:Wed,%2021%20Oct%202020%2018:15:14%20GMT	http://fonts.googleapis.com/css?family=Roboto%3A500%2C700%7CNunito%3A300%2C400%2C700%7CMontserrat%3A500&subset=latin&ver=1559848656	/home/gilberto/websites/teste/fonts.googleapis.com/cssf67a.css	(from http://localhost:8000/)
